nutsid,nutsname,1994_1996,1997_1999,1998_2000,1999_2001,2000_2002,2001_2003,2002_2004,2003_2005,2004_2006,2005_2007,2006_2008,2007_2009
BE10,Rég. Bruxelles / Brussels Gewest,72.3,198.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE21,Prov. Antwerpen,138.5,194.2,191,185.8,183.5,NA,NA,NA,NA,NA,NA,NA
BE22,Prov. Limburg (BE),136.1,188.7,183,179.6,175.7,NA,NA,NA,NA,NA,NA,NA
BE23,Prov. Oost-Vlaanderen,144.8,204.7,198.6,194,190.8,NA,NA,NA,NA,NA,NA,NA
BE24,Prov. Vlaams-Brabant,133.7,191.1,183.3,178.4,174.7,NA,NA,NA,NA,NA,NA,NA
BE25,Prov. West-Vlaanderen,141.7,194.6,187.7,182.2,176.9,NA,NA,NA,NA,NA,NA,NA
BE31,Prov. Brabant Wallon,149.4,199.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE32,Prov. Hainaut,223.1,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE33,Prov. Liège,222.4,201.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE34,Prov. Luxembourg (BE),234.5,203.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE35,Prov. Namur,230.6,206.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BG31,Severozapaden,NA,NA,NA,NA,NA,NA,NA,147.3,152.3,152.8,142.1,NA
BG32,Severen tsentralen,NA,NA,NA,NA,NA,NA,NA,150.4,156.6,161.1,166.8,NA
BG33,Severoiztochen,NA,NA,NA,NA,NA,NA,NA,173.5,180.2,184.8,186.7,NA
BG34,Yugoiztochen,NA,NA,NA,NA,NA,NA,NA,143.1,158.8,166.3,164.5,NA
BG41,Yugozapaden,NA,NA,NA,NA,NA,NA,NA,168.6,169.5,175.3,177.1,NA
BG42,Yuzhen tsentralen,NA,NA,NA,NA,NA,NA,NA,168.7,170.8,174.3,176.7,NA
BG11,Severozapaden (SRE 2005),NA,146.5,163.6,141.7,240.9,192.5,NA,NA,NA,NA,NA,NA
BG12,Severen tsentralen (SRE 2005),NA,134.2,156.3,135.9,231,200.6,NA,NA,NA,NA,NA,NA
BG13,Severoiztochen (SRE 2005),NA,156,182.3,157.8,266.1,228.2,NA,NA,NA,NA,NA,NA
BG21,Yugozapaden (SRE 2005),NA,172.2,199.7,161.7,278.2,230.5,NA,NA,NA,NA,NA,NA
BG22,Yuzhen tsentralen (SRE 2005),NA,167.4,191.4,157.5,260.7,228.1,NA,NA,NA,NA,NA,NA
BG23,Yugoiztochen (SRE 2005),NA,156.7,178.3,149.7,227.3,185.2,NA,NA,NA,NA,NA,NA
CZ01,Praha,245.3,231.1,229.3,222.9,220.6,219.3,224.4,219.4,214.1,204.7,199.3,NA
CZ02,Strední Cechy,252.9,246.3,244.9,245.1,242.8,241.3,242,237.7,228.7,218.9,213.4,NA
CZ03,Jihozápad,262.5,256,250.6,250.3,246.7,246.9,243.7,238.8,231.6,222.1,216.5,NA
CZ04,Severozápad,293.7,277.9,275,272.4,275.3,275.8,271.4,259.5,249.6,241.6,237.9,NA
CZ05,Severov_chod,239.1,228.6,226.1,223.4,223.6,224.9,226,217.8,210.9,202.3,199.6,NA
CZ06,Jihov_chod,231.9,222.1,222.8,222,222.2,219.1,215.4,212.2,204.5,199.1,190.4,NA
CZ07,Strední Morava,229.7,223.1,223.2,221.5,217.6,217.6,212.3,210.4,203.5,196.5,189.6,NA
CZ08,Moravskoslezsko,254.5,245.1,245.8,245.8,245.3,239,238.9,232.3,227,214.4,209.6,NA
DE11,Stuttgart,NA,NA,NA,NA,NA,157.4,154.1,151.3,148.2,147.3,146.3,NA
DE12,Karlsruhe,NA,NA,NA,NA,NA,165,160.6,156.4,153.3,150.8,148.5,NA
DE13,Freiburg,NA,NA,NA,NA,NA,163.7,162.2,159.3,153.6,150,147,NA
DE14,Tübingen,NA,NA,NA,NA,NA,157.9,156.1,151.1,147,144.5,141.8,NA
DE21,Oberbayern,NA,NA,NA,NA,NA,166.6,162.9,159.1,155.5,152.6,149.4,NA
DE22,Niederbayern,NA,NA,NA,NA,NA,170.3,168.6,163.6,161.6,157.2,154.8,NA
DE23,Oberpfalz,NA,NA,NA,NA,NA,179.7,177.1,175.9,172.4,169.2,165.6,NA
DE24,Oberfranken,NA,NA,NA,NA,NA,177.9,173.9,171.1,167.5,166.7,164.6,NA
DE25,Mittelfranken,NA,NA,NA,NA,NA,174.2,170,165.3,162.9,161.4,158.2,NA
DE26,Unterfranken,NA,NA,NA,NA,NA,171.8,165.8,158.7,153.8,153.5,152.2,NA
DE27,Schwaben,NA,NA,NA,NA,NA,166.9,164.8,161.3,157.8,153.7,151.5,NA
DE30,Berlin,NA,NA,NA,NA,NA,175.7,173.2,171.3,168.3,165.8,164.9,NA
DE41,Brandenburg - Nordost (NUTS 2006),NA,NA,NA,NA,NA,198,195.1,189.9,185.8,181.9,175.6,NA
DE42,Brandenburg - Südwest (NUTS 2006),NA,NA,NA,NA,NA,196.8,194.4,186.9,179.5,169,163.5,NA
DE50,Bremen,NA,NA,NA,NA,NA,186.1,185.4,181.6,179.6,176.1,174.2,NA
DE60,Hamburg,NA,NA,NA,NA,NA,183.5,187.6,184.8,182.2,181.9,179.5,NA
DE71,Darmstadt,NA,NA,NA,NA,NA,168.8,166.8,163.7,162.3,161.1,159,NA
DE72,Gießen,NA,NA,NA,NA,NA,172.5,168.4,167.7,164.7,166.1,164.2,NA
DE73,Kassel,NA,NA,NA,NA,NA,167.4,165.3,163,160.2,157.1,158,NA
