iso2,country,is_eu15,is_eu27,ir_all,in_all,mr_all,mn_all,ir_m,in_m,mr_m,mn_m,ir_f,in_f,mr_f,mn_f,ir_breast,in_breast,mr_breast,mn_breast,ir_colorectal,in_colorectal,mr_colorectal,mn_colorectal,ir_colorectal_m,in_colorectal_m,mr_colorectal_m,mn_colorectal_m,ir_colorectal_f,in_colorectal_f,mr_colorectal_f,mn_colorectal_f,ir_lung,in_lung,mr_lung,mn_lung,ir_lung_m,in_lung_m,mr_lung_m,mn_lung_m,ir_lung_f,in_lung_f,mr_lung_f,mn_lung_f,ir_prostate,in_prostate,mr_prostate,mn_prostate
EU27,European Union (27),,,374.11,2.46E+06,172.54,1.23E+06,453.99,1.34E+06,226.23,691245,317.92,1.11E+06,132.49,539972,103.69,332771,23.9,89797,47.37,333330,19.75,148788,60.48,182967,25.62,79993,37.21,150363,15.33,68795,43.68,288118,37.05,252495,70.55,208220,60.63,181918,22.19,79898,18.61,70577,110.53,338732,21.14,70821
AT,Austria,1,1,352.51,38787,161.76,19598,422.4,20711,206.05,10450,301.71,18076,129.64,9148,94.42,5238,24.2,1585,43.07,5093,18.5,2365,55.5,2786,24.43,1259,33.41,2307,14.04,1106,36.28,3962,31.37,3538,52.84,2589,48.3,2396,23.16,1373,18.23,1142,122.57,6064,20.84,1131
BE,Belgium,1,1,431.05,59775,175.01,27647,515.25,33129,232.21,15932,372.1,26646,133.09,11715,145.81,9691,30.69,2421,52.86,8039,18.49,3109,66.31,4411,22.65,1595,42.34,3628,15.46,1514,50.82,7140,43.16,6532,85.58,5545,76.86,5198,22.61,1595,17.12,1334,152.93,9986,20.45,1571
BG,Bulgaria,0,1,301.85,30117,157.43,16376,345.86,15574,210.07,9560,272.75,14543,116.47,6816,75.63,3836,20.04,1121,42.46,4516,19.73,2201,53.22,2461,26.55,1255,34.38,2055,14.6,946,38.52,3825,30.19,2999,72.01,3193,55.72,2465,11.11,632,9.19,534,35.62,1741,15.34,765
CY,Cyprus,0,1,238.61,2213,116.17,1137,265.83,1154,148.7,657,220,1059,90.5,480,88.3,416,20.99,106,28.25,268,10.65,107,34.29,149,12.36,55,23.36,119,9.27,52,18.19,171,18.4,178,31.41,136,33.1,145,7.1,35,6.15,33,73.33,322,19.99,92
CZ,Czech Republic,0,1,411.4,53468,200.55,27075,503.6,28273,265.24,14929,351.99,25195,154.07,12146,93.08,6348,22.62,1739,64.2,8620,27.95,3875,91.25,5140,40.29,2270,44.32,3480,19.11,1605,46.72,6137,41.21,5451,77.87,4412,70.17,3983,23.02,1725,19.45,1468,98.62,5551,22.85,1280
DK,Denmark,1,1,453.63,32111,206.66,15753,489.84,16170,241.99,8197,432.47,15941,181.11,7556,120.8,4172,30.38,1204,59.65,4460,25.81,2051,68.35,2291,29.77,1018,52.64,2169,22.66,1033,58.03,4228,52.04,3883,65.68,2209,61.96,2094,52.8,2019,44.63,1789,110.18,3757,34.49,1223
EE,Estonia,0,1,321.58,5458,187.6,3367,413.91,2680,285.67,1855,276.95,2778,132.88,1512,67.58,628,22.81,234,37.88,693,21.02,402,47.67,311,28.96,189,32.84,382,16.7,213,43.88,751,36.94,647,93.44,604,77.62,503,13.14,147,12.67,144,67.66,447,33.41,222
FI,Finland,1,1,354.2,25580,138.48,10874,414.11,13346,174.29,5736,317.68,12234,114.44,5138,117.05,4081,21.08,845,34.36,2606,13.43,1084,41.42,1346,16.81,557,29.11,1260,10.98,527,28.69,2195,26.18,2034,46.03,1514,43.96,1452,15.97,681,13.33,582,145.28,4763,23.07,783
FR,France,1,1,421.73,332696,163.27,145525,523.86,188914,223.09,84869,346.66,143782,117.38,60656,133.8,51012,25.49,11773,44.52,38924,17.84,17364,54.82,20502,22.95,9125,36.43,18422,14.03,8239,42.58,32430,34.51,27793,68.98,24236,57.73,20908,20.43,8194,15.57,6885,178.7,65862,22.86,9932
DE,Germany,1,1,397.33,479108,160.23,211580,480.33,259822,204.63,113907,338.27,219286,128.13,97673,110.11,64147,24.55,17121,53.58,70339,19.59,27548,68.51,38020,25,14194,41.54,32319,15.41,13354,40.8,49575,33.22,41545,63.47,34642,52.41,28946,23.15,14933,18.64,12599,125.56,70792,20.1,11863
GR,Greece,1,1,235.34,38229,153.54,26815,281.45,21358,206.34,16250,199.22,16871,109.87,10565,61.92,4866,22.27,2018,20.54,3576,12.11,2269,24.72,1931,14.6,1210,17.06,1645,10.08,1059,42.7,6760,37.85,6197,77.87,5678,69.31,5194,12.54,1082,11.14,1003,31.11,2794,17.99,1674
HU,Hungary,0,1,400.93,50249,247.66,32412,516.23,26704,347.76,18101,325.6,23545,180.04,14311,78.69,5349,28.05,2173,63.65,8456,36.05,4996,93.77,4892,53.29,2792,43.77,3564,25.18,2204,70.41,8735,64.2,8102,113.65,5883,106.4,5529,39.83,2852,34.92,2573,51.04,2686,22.37,1189
IS,Iceland,0,0,393.29,1257,177.44,607,436.15,668,198.96,320,362.07,589,160.69,287,115.9,181,27.2,45,43.92,145,16.55,59,51.86,82,19.51,32,37.35,63,14.23,27,41.24,135,41.12,134,43.37,67,44.37,68,40.08,68,38.5,66,153.33,231,28.38,50
IE,Ireland,1,1,449.09,19300,176.68,7909,515.23,10287,205.04,4107,395.9,9013,155.79,3802,126.48,2732,28.11,660,53.9,2355,21.01,952,66.87,1331,27.94,559,42.94,1024,15.36,393,46.08,2005,38.28,1684,57.89,1150,49.88,992,36.43,855,28.78,692,183.14,3601,24.98,506
IT,Italy,1,1,384.32,339795,164.49,164903,452.17,183636,218.03,93688,339.81,156159,124.71,71215,115.08,47473,23.12,11638,54.23,51686,18.25,19103,68.31,28557,23.55,10351,43.69,23129,14.33,8752,39.32,36626,33.46,32554,68.06,28158,59.45,25280,16.59,8468,13.4,7274,91.15,40016,15.78,7736
LV,Latvia,0,1,321.54,9402,195.52,6008,441.98,4879,293.68,3241,262.47,4523,141.91,2767,64.5,1037,24.02,414,34.51,1088,21.88,717,45.49,505,29.22,324,28.84,583,18.26,393,36.84,1070,36.2,1104,80.04,881,79.32,880,10.21,189,11.01,224,104.54,1169,37.31,415
LT,Lithuania,0,1,342.99,14091,196.66,8434,462.36,7352,301.95,4804,281.7,6739,134.18,3630,62.38,1408,23.13,577,36.68,1601,21.13,964,49.91,800,29.07,469,29.29,801,16.74,495,37.36,1534,34.92,1456,81.04,1274,77.58,1221,9.63,260,8.25,235,104.81,1697,38.6,635
LU,Luxembourg,1,1,407.66,2344,153.95,919,477.84,1202,198.17,502,357.84,1142,120.06,417,114.5,338,21.26,69,49.73,308,17.06,109,63.77,163,22.1,57,38.15,145,13.18,52,45.06,252,35.57,201,69.84,175,56.08,141,25.52,77,19.69,60,115.52,292,15.82,42
MT,Malta,0,1,295.68,1460,156.53,813,339.06,761,194.64,438,271.22,699,130.7,375,98.02,247,28.09,76,37.53,189,20.97,110,47.9,109,25.81,58,29.89,80,18,52,26.28,135,25.4,129,49.29,112,47.88,108,8.51,23,8.06,21,76.58,172,11.99,27
NL,Netherlands,1,1,406.63,82784,184.75,40510,461.61,43679,227.02,21957,370.39,39105,155.14,18553,129.29,12956,28.24,3210,54.63,11683,21.78,4924,65.13,6239,25.95,2521,46.15,5444,18.52,2403,50.64,10402,46.22,9895,69.11,6602,65.33,6314,36.53,3800,32.49,3581,110.26,10569,24.61,2452
NO,Norway,0,0,422.46,24636,164.66,10628,497.28,13494,196.63,5623,366.71,11142,142.66,5005,102.07,2828,20.83,674,56.94,3533,24.14,1625,62.8,1741,27.99,808,52.48,1792,21.27,817,44.42,2634,34.39,2087,55.34,1513,44.37,1232,35.83,1121,26.82,855,172.65,4708,32.7,1006
PL,Poland,0,1,320.6,141207,205.99,93504,418,77144,285.44,52609,258.05,64063,152.44,40895,66.35,15566,21,5381,35.43,15897,21.41,10012,49.29,9054,29.82,5476,25.66,6843,15.74,4536,58.11,25426,50.15,22142,103.34,19075,90.82,16628,25.7,6351,21.79,5514,69.36,12519,20.9,3861
PT,Portugal,1,1,308.33,42438,156.96,23633,381.89,23573,220,14132,255.08,18865,109.82,9501,78.8,5282,19.13,1515,46.09,6787,22.48,3582,61.55,3913,30.55,2029,34.36,2874,16.64,1553,23.38,3222,22.84,3246,41.89,2557,41.85,2602,8.49,665,7.83,644,76.59,4999,26.13,1883
RO,Romania,0,1,287.8,70927,180.29,45509,345.22,37914,243.75,26865,246.23,33013,130.95,18644,63.56,8150,22.46,3094,33.66,8725,19.23,5132,41.2,4587,25.23,2853,27.86,4138,14.73,2279,43.63,10618,37.77,9303,79.65,8621,68.75,7478,14.17,1997,12.79,1825,32.01,3740,14.65,1726
SK,Slovakia,0,1,362.77,21089,200.88,11867,458.64,11046,287.13,6835,303.62,10043,142.75,5032,71.16,2280,22.15,759,61.86,3629,30.66,1838,88.62,2096,46.89,1093,43.95,1533,20.17,745,38.47,2221,33.22,1934,74.28,1771,64.94,1536,13.31,450,11.48,398,59.79,1363,21.59,492
